program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P8	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	0.0046230170592467	0.278394312131013	-0.548899459375043	0.558145493493536	0.986789851560082	COMPLETED	0.986789851560082
P8	evoked	95	treatmentAZD2423 150 mg:xb_z	0.163285322156353	0.280469124426615	-0.39436243697932	0.720933081292027	0.561982168714373	COMPLETED	0.948517192714509
P8	evoked	95	treatmentAZD2423 20 mg:xb_z	0.163058852126925	0.263975023433928	-0.361794215342302	0.687911919596152	0.538420854304022	COMPLETED	0.948517192714509
P8	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	0.265432054055214	0.37173942303506	-0.473685510709494	1.00454961881992	0.477166537929893	COMPLETED	0.948517192714509
P8	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	0.229947836565926	0.357852711393428	-0.481559225101334	0.941454898233187	0.52222826115782	COMPLETED	0.948517192714509
P10	npsi_total	95	treatmentAZD2423 150 mg:xb_z	-0.38279766426486	0.263360183875988	-0.906428265972786	0.140832937443067	0.149763382020866	COMPLETED	0.948517192714509
P10	npsi_total	95	treatmentAZD2423 20 mg:xb_z	-0.237075030541383	0.287237659429568	-0.808180450604065	0.334030389521298	0.41147659008541	COMPLETED	0.948517192714509
P10	average_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.386474452040763	0.28069177769274	-0.94403418668277	0.171085282601244	0.171932148830986	COMPLETED	0.948517192714509
P10	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.205272103884294	0.274081283628908	-0.749700904138485	0.339156696369898	0.455821268178015	COMPLETED	0.948517192714509
P10	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.289068481570531	0.311078534542345	-0.906987775815467	0.328850812674405	0.355220037118168	COMPLETED	0.948517192714509
P10	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.237399117979193	0.30446272402688	-0.842176917358248	0.367378681399862	0.437572318061972	COMPLETED	0.948517192714509
P10	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	-0.275797119573886	0.276192900410378	-0.824942599732893	0.273348360585121	0.320838749614325	COMPLETED	0.948517192714509
P10	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.0922530274645679	0.301893373038128	-0.692497932556327	0.507991877627191	0.760670427021906	COMPLETED	0.959756822463525
P10	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	-0.111964888723495	0.275742020132653	-0.660213898096188	0.436284120649197	0.685726701357228	COMPLETED	0.948517192714509
P10	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	0.0838672839637797	0.297610606103675	-0.507862333077003	0.675596901004562	0.778780238955321	COMPLETED	0.959756822463525
P10	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.33952982189262	0.25247199674778	-0.841511790562925	0.162452146777685	0.182260304009753	COMPLETED	0.948517192714509
P10	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	-0.24274071512784	0.258087977991899	-0.75588875907482	0.27040732881914	0.349608584952686	COMPLETED	0.948517192714509
P10	evoked	95	treatmentAZD2423 150 mg:xb_z	-0.376738048092674	0.258663408709271	-0.891030202467981	0.137554106282633	0.148944109842958	COMPLETED	0.948517192714509
P10	evoked	95	treatmentAZD2423 20 mg:xb_z	-0.392841398825861	0.265571505292233	-0.920868699938824	0.135185902287102	0.142775426044225	COMPLETED	0.948517192714509
P10	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	-0.241244902573061	0.324153721803915	-0.885749344725085	0.403259539578963	0.458789917976448	COMPLETED	0.948517192714509
P10	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	-0.138103687504488	0.347718791918887	-0.82946180230356	0.553254427294585	0.692237194531838	COMPLETED	0.948517192714509
