gene	module	gene_id	current_symbol	mapping_method	is_non_grey	candidate	include_in_block_map	exclusion_reason
CRABP2	red	1382	CRABP2	unique_official_exact	True	True	True	included
CLIC5	green	53405	CLIC5	unique_official_exact	True	True	True	included
MCAM	black	4162	MCAM	unique_official_exact	True	True	True	included
SECISBP2L	brown	9728	SECISBP2L	unique_official_exact	True	True	True	included
RAPGEF3	turquoise	10411	RAPGEF3	unique_official_exact	True	True	True	included
KIT	blue	3815	KIT	unique_official_exact	True	True	True	included
CFAP44	turquoise	55779	CFAP44	unique_official_exact	True	True	True	included
NCAM2	brown	4685	NCAM2	unique_official_exact	True	True	True	included
PLN	pink	5350	PLN	unique_official_exact	True	True	True	included
ARHGAP19	brown	84986	ARHGAP19	unique_official_exact	True	True	True	included
PPARG	yellow	5468	PPARG	unique_official_exact	True	True	True	included
SYK	blue	6850	SYK	unique_official_exact	True	True	True	included
PDGFRL	red	5157	PDGFRL	unique_official_exact	True	True	True	included
ISM1	blue	140862	ISM1	unique_official_exact	True	True	True	included
PLCB4	turquoise	5332	PLCB4	unique_official_exact	True	True	True	included
STON2	blue	85439	STON2	unique_official_exact	True	True	True	included
HMCN1	blue	83872	HMCN1	unique_official_exact	True	True	True	included
RALGAPA2	turquoise	57186	RALGAPA2	unique_official_exact	True	True	True	included
NGFR	grey	4804	NGFR	unique_official_exact	False	False	False	grey_not_a_network_block
FEZ1	brown	9638	FEZ1	unique_official_exact	True	True	True	included
SHC4	brown	399694	SHC4	unique_official_exact	True	True	True	included
PLEKHG5	turquoise	57449	PLEKHG5	unique_official_exact	True	True	True	included
NOS1	green	4842	NOS1	unique_official_exact	True	True	True	included
LYN	blue	4067	LYN	unique_official_exact	True	True	True	included
TNC	grey	3371	TNC	unique_official_exact	False	False	False	grey_not_a_network_block
DOK6	brown	220164	DOK6	unique_official_exact	True	True	True	included
SMTN	turquoise	6525	SMTN	unique_official_exact	True	True	True	included
NR4A2	brown	4929	NR4A2	unique_official_exact	True	True	True	included
IL7R	blue	3575	IL7R	unique_official_exact	True	True	True	included
SLIT2	brown	9353	SLIT2	unique_official_exact	True	True	True	included
CCDC144BP	turquoise	284047	CCDC144BP	unique_official_exact	True	True	True	included
CLDN5	black	7122	CLDN5	unique_official_exact	True	True	True	included
ASTN2	brown	23245	ASTN2	unique_official_exact	True	True	True	included
LGMN	blue	5641	LGMN	unique_official_exact	True	True	True	included
CRYAB	yellow	1410	CRYAB	unique_official_exact	True	True	True	included
FBLN2	blue	2199	FBLN2	unique_official_exact	True	True	True	included
MFAP4	blue	4239	MFAP4	unique_official_exact	True	True	True	included
PPP1R14A	pink	94274	PPP1R14A	unique_official_exact	True	True	True	included
MFAP3L	brown	9848	MFAP3L	unique_official_exact	True	True	True	included
FOS	grey	2353	FOS	unique_official_exact	False	False	False	grey_not_a_network_block
ADGRB3	brown	577	ADGRB3	unique_official_exact	True	True	True	included
CDH1	brown	999	CDH1	unique_official_exact	True	True	True	included
LEPR	red	3953	LEPR	unique_official_exact	True	True	True	included
EPAS1	black	2034	EPAS1	unique_official_exact	True	True	True	included
ANKRD10	turquoise	55608	ANKRD10	unique_official_exact	True	True	True	included
GPR34	blue	2857	GPR34	unique_official_exact	True	True	True	included
LAMA3	turquoise	3909	LAMA3	unique_official_exact	True	True	True	included
UGT8	brown	7368	UGT8	unique_official_exact	True	True	True	included
COL16A1	turquoise	1307	COL16A1	unique_official_exact	True	True	True	included
