raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
PLEKHA6	PLEKHA6	False	22874	official_exact	PLEKHA6	True
LIMS1	LIMS1	False	3987	official_exact	LIMS1	True
PRKAR1B	PRKAR1B	False	5575	official_exact	PRKAR1B	True
STC1	STC1	False	6781	official_exact	STC1	True
SLC35D2	SLC35D2	False	11046	official_exact	SLC35D2	True
RAG1	RAG1	False	5896	official_exact	RAG1	True
C12orf57	C12orf57	False	113246	official_exact	C12orf57	True
EIF5	EIF5	False	1983	official_exact	EIF5	True
FOXJ1	FOXJ1	False	2302	official_exact	FOXJ1	True
VEZT	VEZT	False	55591	official_exact	VEZT	True
ACE	ACE	False	1636	official_exact	ACE	True
GCNT4	GCNT4	False	51301	official_exact	GCNT4	True
CD24	CD24	False	100133941	official_exact	CD24	True
PABIR1	PABIR1	False	116224	official_exact	PABIR1	True
TSHR	TSHR	False	7253	official_exact	TSHR	True
OGT	OGT	False	8473	official_exact	OGT	True
CTNNAL1	CTNNAL1	False	8727	official_exact	CTNNAL1	True
TDRD10	TDRD10	False	126668	official_exact	TDRD10	True
C14orf180	C14orf180	False	400258	official_exact	C14orf180	True
RASAL1	RASAL1	False	8437	official_exact	RASAL1	True
CACNA1G	CACNA1G	False	8913	official_exact	CACNA1G	True
MTSS1	MTSS1	False	9788	official_exact	MTSS1	True
NEK6	NEK6	False	10783	official_exact	NEK6	True
HGF	HGF	False	3082	official_exact	HGF	True
EIF1	EIF1	False	10209	official_exact	EIF1	True
SLC6A4	SLC6A4	False	6532	official_exact	SLC6A4	True
BAMBI	BAMBI	False	25805	official_exact	BAMBI	True
SLC6A9	SLC6A9	False	6536	official_exact	SLC6A9	True
SMIM29	SMIM29	False	221491	official_exact	SMIM29	True
C6orf141	C6orf141	False	135398	official_exact	C6orf141	True
TCAF1	TCAF1	False	9747	official_exact	TCAF1	True
NRP1	NRP1	False	8829	official_exact	NRP1	True
CIPC	CIPC	False	85457	official_exact	CIPC	True
PIEZO2	PIEZO2	False	63895	official_exact	PIEZO2	True
TVP23A	TVP23A	False	780776	official_exact	TVP23A	True
MMP11	MMP11	False	4320	official_exact	MMP11	True
NANOS1	NANOS1	False	340719	official_exact	NANOS1	True
PHC2	PHC2	False	1912	official_exact	PHC2	True
KCNJ1	KCNJ1	False	3758	official_exact	KCNJ1	True
MAD2L2	MAD2L2	False	10459	official_exact	MAD2L2	True
ANKRD18B	ANKRD18B	False	441459	official_exact	ANKRD18B	True
FAM13C	FAM13C	False	220965	official_exact	FAM13C	True
HIPK4	HIPK4	False	147746	official_exact	HIPK4	True
