module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	125113	KRT222	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	125704	DIPK1C	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	126133	ALDH16A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1263	PLK3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	126306	JSRP1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1264	CNN1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	126661	CCDC163	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	126668	TDRD10	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	126669	SHE	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	126789	PUSL1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1268	CNR1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	127059	OR2M5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1272	CNTN1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	127435	PODN	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	127495	LRRC39	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	127579	DCST2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	127665	ZNF648	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1277	COL1A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	127733	UBXN10	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	127833	SYT2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	127845	GOLT1A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	128	ADH5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1281	COL3A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	128346	C1orf162	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	128414	NKAIN4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	128434	VSTM2L	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1285	COL4A3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1286	COL4A4	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1289	COL5A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	129080	EMID1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1291	COL6A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1292	COL6A2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	129293	TRABD2A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1293	COL6A3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1294	COL7A1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	129607	CMPK2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	129642	MBOAT2	down	late_allcell_DPN_vs_diabetes
