family	parent	gene_id	symbol	direction	bin	partner_direction	partner_status
late_allcell	original_late_allcell	26289	AK5	down	residual	absent	absent
late_allcell	original_late_allcell	26292	MYCBP	down	residual	absent	absent
late_allcell	original_late_allcell	2634	GBP2	up	core	up	eligible
late_allcell	original_late_allcell	2642	GCGR	up	residual	absent	absent
late_allcell	original_late_allcell	2644	GCHFR	down	residual	absent	absent
late_allcell	original_late_allcell	2646	GCKR	up	residual	absent	absent
late_allcell	original_late_allcell	26469	PTPN18	up	core	up	eligible
late_allcell	original_late_allcell	26470	SEZ6L2	down	residual	absent	absent
late_allcell	original_late_allcell	26471	NUPR1	up	residual	absent	absent
late_allcell	original_late_allcell	2649	NR6A1	down	residual	absent	absent
late_allcell	original_late_allcell	26507	CNNM1	down	residual	absent	absent
late_allcell	original_late_allcell	26575	RGS17	down	residual	absent	absent
late_allcell	original_late_allcell	26577	PCOLCE2	up	residual	absent	absent
late_allcell	original_late_allcell	26580	BSCL2	down	residual	absent	absent
late_allcell	original_late_allcell	2662	GDF10	down	residual	absent	absent
late_allcell	original_late_allcell	26659	OR7A5	up	residual	absent	absent
late_allcell	original_late_allcell	266727	MDGA1	up	residual	absent	absent
late_allcell	original_late_allcell	2668	GDNF	up	residual	absent	absent
late_allcell	original_late_allcell	2670	GFAP	down	residual	absent	absent
late_allcell	original_late_allcell	2675	GFRA2	down	residual	absent	absent
late_allcell	original_late_allcell	2690	GHR	up	residual	absent	absent
late_allcell	original_late_allcell	26953	RANBP6	down	residual	absent	absent
late_allcell	original_late_allcell	2697	GJA1	down	residual	absent	absent
late_allcell	original_late_allcell	26999	CYFIP2	down	residual	absent	absent
late_allcell	original_late_allcell	27006	FGF22	up	residual	absent	absent
late_allcell	original_late_allcell	27012	KCNV1	down	residual	absent	absent
late_allcell	original_late_allcell	2702	GJA5	up	residual	absent	absent
late_allcell	original_late_allcell	2705	GJB1	down	residual	absent	absent
late_allcell	original_late_allcell	27069	GHITM	down	residual	absent	absent
late_allcell	original_late_allcell	27087	B3GAT1	down	core	down	eligible
late_allcell	original_late_allcell	27090	ST6GALNAC4	up	residual	absent	absent
late_allcell	original_late_allcell	27091	CACNG5	down	core	down	eligible
late_allcell	original_late_allcell	27092	CACNG4	down	residual	absent	absent
late_allcell	original_late_allcell	27094	KCNMB3	up	residual	absent	absent
late_allcell	original_late_allcell	27098	CLUL1	down	residual	absent	absent
late_allcell	original_late_allcell	27112	NALF2	up	core	up	eligible
late_allcell	original_late_allcell	27115	PDE7B	down	residual	absent	absent
late_allcell	original_late_allcell	27128	CYTH4	up	residual	absent	absent
late_allcell	original_late_allcell	27133	KCNH5	down	residual	absent	absent
late_allcell	original_late_allcell	27151	CPAMD8	down	residual	absent	absent
late_allcell	original_late_allcell	2719	GPC3	down	residual	absent	absent
late_allcell	original_late_allcell	27198	HCAR1	up	residual	absent	absent
late_allcell	original_late_allcell	27235	COQ2	down	residual	absent	absent
late_allcell	original_late_allcell	27239	GPR162	up	residual	absent	absent
late_allcell	original_late_allcell	27255	CNTN6	down	residual	absent	absent
late_allcell	original_late_allcell	27286	SRPX2	up	residual	absent	absent
late_allcell	original_late_allcell	27287	VENTX	down	residual	absent	absent
late_allcell	original_late_allcell	27289	RND1	down	residual	absent	absent
late_allcell	original_late_allcell	27291	R3HCC1L	up	residual	absent	absent
late_allcell	original_late_allcell	2730	GCLM	down	residual	absent	absent
late_allcell	original_late_allcell	27314	RAB30	up	residual	absent	absent
late_allcell	original_late_allcell	27344	PCSK1N	down	residual	absent	absent
late_allcell	original_late_allcell	27346	TMEM97	down	excluded_cross_source_opposed	up	eligible
late_allcell	original_late_allcell	2739	GLO1	down	residual	absent	absent
late_allcell	original_late_allcell	274	BIN1	up	residual	absent	absent
late_allcell	original_late_allcell	2743	GLRB	down	residual	absent	absent
late_allcell	original_late_allcell	27434	POLM	up	residual	absent	absent
late_allcell	original_late_allcell	27445	PCLO	down	residual	absent	absent
late_allcell	original_late_allcell	2746	GLUD1	down	residual	absent	absent
late_allcell	original_late_allcell	2760	GM2A	down	residual	absent	absent
late_allcell	original_late_allcell	2786	GNG4	down	residual	absent	absent
late_allcell	original_late_allcell	2796	GNRH1	up	residual	absent	absent
late_allcell	original_late_allcell	28	ABO	up	residual	absent	absent
late_allcell	original_late_allcell	2805	GOT1	down	residual	absent	absent
late_allcell	original_late_allcell	2806	GOT2	down	residual	absent	absent
late_allcell	original_late_allcell	2810	SFN	up	residual	absent	absent
late_allcell	original_late_allcell	2819	GPD1	up	residual	absent	absent
late_allcell	original_late_allcell	2821	GPI	down	residual	absent	absent
late_allcell	original_late_allcell	2823	GPM6A	down	residual	absent	absent
late_allcell	original_late_allcell	28231	SLCO4A1	up	residual	absent	absent
late_allcell	original_late_allcell	28232	SLCO3A1	up	residual	absent	absent
late_allcell	original_late_allcell	283130	SLC25A45	up	residual	absent	absent
late_allcell	original_late_allcell	28316	CDH20	down	residual	absent	absent
late_allcell	original_late_allcell	283208	P4HA3	up	residual	absent	absent
late_allcell	original_late_allcell	283229	CRACR2B	up	residual	absent	absent
late_allcell	original_late_allcell	283455	KSR2	down	residual	absent	absent
late_allcell	original_late_allcell	283518	KCNRG	down	residual	absent	absent
late_allcell	original_late_allcell	283521	TMEM272	down	residual	absent	absent
late_allcell	original_late_allcell	283537	SLC46A3	down	residual	absent	absent
late_allcell	original_late_allcell	283576	ZDHHC22	down	residual	absent	absent
late_allcell	original_late_allcell	283643	TEDC1	up	residual	absent	absent
late_allcell	original_late_allcell	283777	FAM169BP	up	residual	absent	absent
late_allcell	original_late_allcell	283807	FBXL22	up	residual	absent	absent
late_allcell	original_late_allcell	283870	BRICD5	down	residual	absent	absent
late_allcell	original_late_allcell	283899	INO80E	up	residual	absent	absent
late_allcell	original_late_allcell	283985	FADS6	down	residual	absent	absent
late_allcell	original_late_allcell	283991	UBALD2	up	residual	absent	absent
late_allcell	original_late_allcell	284	ANGPT1	up	residual	absent	absent
late_allcell	original_late_allcell	284004	HEXD	up	residual	absent	absent
late_allcell	original_late_allcell	284207	METRNL	up	residual	absent	absent
late_allcell	original_late_allcell	284217	LAMA1	down	residual	absent	absent
late_allcell	original_late_allcell	284252	KCTD1	down	residual	absent	absent
late_allcell	original_late_allcell	284297	SSC5D	up	residual	absent	absent
late_allcell	original_late_allcell	284306	ZNF547	down	residual	absent	absent
late_allcell	original_late_allcell	284312	ZSCAN1	down	residual	absent	absent
late_allcell	original_late_allcell	284338	PRR19	down	residual	absent	absent
late_allcell	original_late_allcell	284359	IZUMO1	up	residual	absent	absent
late_allcell	original_late_allcell	284417	TMEM150B	up	residual	absent	absent
late_allcell	original_late_allcell	284451	CIMAP1D	up	residual	absent	absent
late_allcell	original_late_allcell	284459	ZNF875	up	residual	absent	absent
late_allcell	original_late_allcell	284467	TAFA3	down	residual	absent	absent
late_allcell	original_late_allcell	284521	OR2L13	down	residual	absent	absent
late_allcell	original_late_allcell	284716	RIMKLA	down	residual	absent	absent
late_allcell	original_late_allcell	284723	SLC25A34	up	residual	absent	absent
late_allcell	original_late_allcell	284739	C20orf204	up	residual	absent	absent
late_allcell	original_late_allcell	2849	GPR26	down	residual	absent	absent
late_allcell	original_late_allcell	2850	GPR27	down	residual	absent	absent
late_allcell	original_late_allcell	285016	ALKAL2	down	residual	absent	absent
late_allcell	original_late_allcell	285025	CCDC141	up	residual	absent	absent
late_allcell	original_late_allcell	285093	RTP5	down	residual	absent	absent
late_allcell	original_late_allcell	28514	DLL1	up	core	up	eligible
late_allcell	original_late_allcell	285141	ERICH2	down	residual	absent	absent
late_allcell	original_late_allcell	285172	HYCC2	up	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	285175	UNC80	down	residual	absent	absent
late_allcell	original_late_allcell	2852	GPER1	up	residual	absent	absent
late_allcell	original_late_allcell	285220	EPHA6	down	residual	absent	absent
late_allcell	original_late_allcell	285386	TPRG1	up	residual	absent	absent
late_allcell	original_late_allcell	285498	RNF212	up	residual	absent	absent
late_allcell	original_late_allcell	285600	KIAA0825	down	residual	absent	absent
late_allcell	original_late_allcell	285601	GPR150	up	residual	absent	absent
late_allcell	original_late_allcell	285605	DTWD2	down	residual	absent	absent
late_allcell	original_late_allcell	285613	RELL2	down	residual	absent	absent
late_allcell	original_late_allcell	285636	RIMOC1	down	excluded_partner_unresolved	conflict	within_source_direction_conflict
late_allcell	original_late_allcell	285672	SREK1IP1	down	residual	absent	absent
late_allcell	original_late_allcell	285852	TREML4	down	residual	absent	absent
late_allcell	original_late_allcell	286	ANK1	down	residual	absent	absent
late_allcell	original_late_allcell	2861	GPR37	down	residual	absent	absent
late_allcell	original_late_allcell	286183	NKAIN3	down	residual	absent	absent
late_allcell	original_late_allcell	286451	YIPF6	down	residual	absent	absent
late_allcell	original_late_allcell	2869	GRK5	up	residual	absent	absent
late_allcell	original_late_allcell	287	ANK2	down	residual	absent	absent
late_allcell	original_late_allcell	2877	GPX2	down	residual	absent	absent
late_allcell	original_late_allcell	2891	GRIA2	down	residual	absent	absent
late_allcell	original_late_allcell	2893	GRIA4	up	residual	absent	absent
late_allcell	original_late_allcell	28962	OSTM1	down	residual	absent	absent
late_allcell	original_late_allcell	2897	GRIK1	down	residual	absent	absent
late_allcell	original_late_allcell	28972	SPCS1	down	residual	absent	absent
late_allcell	original_late_allcell	28982	FLVCR1	down	residual	absent	absent
late_allcell	original_late_allcell	28986	MAGEH1	down	residual	absent	absent
late_allcell	original_late_allcell	28990	ASTE1	down	residual	absent	absent
late_allcell	original_late_allcell	28992	MACROD1	up	residual	absent	absent
late_allcell	original_late_allcell	29015	SLC43A3	up	residual	absent	absent
late_allcell	original_late_allcell	2902	GRIN1	down	residual	absent	absent
late_allcell	original_late_allcell	2904	GRIN2B	up	residual	absent	absent
late_allcell	original_late_allcell	2905	GRIN2C	up	residual	absent	absent
late_allcell	original_late_allcell	29071	C1GALT1C1	down	residual	absent	absent
late_allcell	original_late_allcell	29078	NDUFAF4	down	residual	absent	absent
late_allcell	original_late_allcell	29106	SCG3	down	residual	absent	absent
late_allcell	original_late_allcell	29109	FHOD1	up	residual	absent	absent
late_allcell	original_late_allcell	29114	TAGLN3	down	residual	absent	absent
late_allcell	original_late_allcell	2920	CXCL2	up	residual	absent	absent
late_allcell	original_late_allcell	2950	GSTP1	down	residual	absent	absent
late_allcell	original_late_allcell	2968	GTF2H4	up	residual	absent	absent
late_allcell	original_late_allcell	29775	CARD10	up	core	up	eligible
late_allcell	original_late_allcell	29796	UQCR10	down	residual	absent	absent
late_allcell	original_late_allcell	29880	ALG5	down	residual	absent	absent
late_allcell	original_late_allcell	29883	CNOT7	down	residual	absent	absent
late_allcell	original_late_allcell	29901	SAC3D1	down	residual	absent	absent
late_allcell	original_late_allcell	29906	ST8SIA5	down	residual	absent	absent
late_allcell	original_late_allcell	29911	HOOK2	up	residual	absent	absent
late_allcell	original_late_allcell	2992	GYG1	down	residual	absent	absent
late_allcell	original_late_allcell	29929	ALG6	down	residual	absent	absent
late_allcell	original_late_allcell	29933	GPR132	up	residual	absent	absent
late_allcell	original_late_allcell	29941	PKN3	up	residual	absent	absent
late_allcell	original_late_allcell	29944	PNMA3	down	residual	absent	absent
late_allcell	original_late_allcell	29948	OSGIN1	up	residual	absent	absent
late_allcell	original_late_allcell	29950	SERTAD1	up	residual	absent	absent
late_allcell	original_late_allcell	29951	PDZRN4	down	residual	absent	absent
late_allcell	original_late_allcell	29953	TRHDE	up	residual	absent	absent
late_allcell	original_late_allcell	29967	LRP12	down	residual	absent	absent
late_allcell	original_late_allcell	29968	PSAT1	down	residual	absent	absent
