raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
MIR452	MIR452	False	574412	official_exact	MIR452	True
MIR4520A	MIR4520A	False	100616401	unique_synonym	MIR4520-1	True
MIR4520B	MIR4520B	False	100616466	unique_synonym	MIR4520-2	True
MIR4521	MIR4521	False	100616406	official_exact	MIR4521	True
MIR4522	MIR4522	False	100616277	official_exact	MIR4522	True
MIR4523	MIR4523	False	100616122	official_exact	MIR4523	True
MIR4524A	MIR4524A	False	100616316	official_exact	MIR4524A	True
MIR4524B	MIR4524B	False	100847008	official_exact	MIR4524B	True
MIR4526	MIR4526	False	100616130	official_exact	MIR4526	True
MIR4529	MIR4529	False	100616290	official_exact	MIR4529	True
MIR4530	MIR4530	False	100616163	official_exact	MIR4530	True
MIR4531	MIR4531	False	100616355	official_exact	MIR4531	True
MIR4532	MIR4532	False		unresolved_or_ambiguous		False
MIR4533	MIR4533	False	100616362	official_exact	MIR4533	True
MIR4534	MIR4534	False	100616146	official_exact	MIR4534	True
MIR4535	MIR4535	False	100616415	official_exact	MIR4535	True
MIR4536-1	MIR4536-1	False	100616155	official_exact	MIR4536-1	True
MIR454	MIR454	False	768216	official_exact	MIR454	True
MIR4540	MIR4540	False	100616278	official_exact	MIR4540	True
MIR455	MIR455	False	619556	official_exact	MIR455	True
MIR4632	MIR4632	False	100616438	official_exact	MIR4632	True
MIR4633	MIR4633	False	100616175	official_exact	MIR4633	True
MIR4634	MIR4634	False	100616202	official_exact	MIR4634	True
MIR4635	MIR4635	False	100616479	official_exact	MIR4635	True
MIR4636	MIR4636	False	100616326	official_exact	MIR4636	True
MIR4637	MIR4637	False	100616271	official_exact	MIR4637	True
MIR4638	MIR4638	False	100616342	official_exact	MIR4638	True
MIR4639	MIR4639	False	100616269	official_exact	MIR4639	True
MIR4640	MIR4640	False	100616237	official_exact	MIR4640	True
MIR4641	MIR4641	False	100616178	official_exact	MIR4641	True
MIR4642	MIR4642	False	100616352	official_exact	MIR4642	True
MIR4643	MIR4643	False	100616174	official_exact	MIR4643	True
MIR4644	MIR4644	False	100616430	official_exact	MIR4644	True
MIR4645	MIR4645	False	100616285	official_exact	MIR4645	True
MIR4646	MIR4646	False	100616230	official_exact	MIR4646	True
MIR4647	MIR4647	False	100616124	official_exact	MIR4647	True
MIR4648	MIR4648	False	100616116	official_exact	MIR4648	True
MIR4649	MIR4649	False	100616346	official_exact	MIR4649	True
MIR4650-1	MIR4650-1	False	100616310	official_exact	MIR4650-1	True
MIR4650-2	MIR4650-2	False	100616331	official_exact	MIR4650-2	True
MIR4651	MIR4651	False	100616270	official_exact	MIR4651	True
MIR4652	MIR4652	False	100616206	official_exact	MIR4652	True
MIR4653	MIR4653	False	100616117	official_exact	MIR4653	True
MIR4654	MIR4654	False	100616386	official_exact	MIR4654	True
MIR4655	MIR4655	False	100616160	official_exact	MIR4655	True
MIR4656	MIR4656	False	100616465	official_exact	MIR4656	True
MIR4657	MIR4657	False	100616393	official_exact	MIR4657	True
MIR4658	MIR4658	False	100616439	official_exact	MIR4658	True
MIR4659A	MIR4659A	False	100616348	official_exact	MIR4659A	True
MIR4659B	MIR4659B	False	100616372	official_exact	MIR4659B	True
MIR4660	MIR4660	False	100616350	official_exact	MIR4660	True
MIR4661	MIR4661	False	100616245	official_exact	MIR4661	True
MIR4663	MIR4663	False	100616260	official_exact	MIR4663	True
MIR4664	MIR4664	False	100616318	official_exact	MIR4664	True
MIR4665	MIR4665	False	100616288	official_exact	MIR4665	True
MIR4666A	MIR4666A	False	100616308	official_exact	MIR4666A	True
MIR4667	MIR4667	False	100616214	official_exact	MIR4667	True
MIR4668	MIR4668	False	100616114	official_exact	MIR4668	True
MIR4669	MIR4669	False	100616236	official_exact	MIR4669	True
MIR4670	MIR4670	False	100616351	official_exact	MIR4670	True
MIR4671	MIR4671	False	100616380	official_exact	MIR4671	True
MIR4672	MIR4672	False	100616429	official_exact	MIR4672	True
MIR4673	MIR4673	False	100616242	official_exact	MIR4673	True
MIR4674	MIR4674	False	100616301	official_exact	MIR4674	True
