endpoint	version	module_id	status	n_total	n_positive	n_negative	mean_difference	ci_low	ci_high	t	p	hedges_g	fixed_direction_auc	missing	exact	permutations	reason	q_BH_common_method
original_hDRG_DPN_control	repaired_inherited	late_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0015597190396563	-0.0063793750596222	0.0097575837379041	0.324351135552547	0.7566666666666667	0.1711046475688869	0.4857142857142857	0.0	True	300.0		0.81
original_hDRG_DPN_control	repaired_inherited	late_shared_concordant_neuronal_core	COMPLETED	12.0	5.0	7.0	0.0372523383582029	0.017536467106023	0.0556592854046674	1.797061574614793	0.14	1.1224745577364217	0.7428571428571429	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_inherited	original_early_allcell	COMPLETED	12.0	5.0	7.0	-0.0024427204169037	-0.0165263052279701	0.012296897166294	-0.2714568985699171	0.81	-0.1327033096316047	0.3428571428571428	0.0	True	300.0		0.81
original_hDRG_DPN_control	repaired_inherited	original_late_allcell	COMPLETED	12.0	5.0	7.0	0.0233986775719144	0.0063005168362818	0.0391666958954549	1.6504782342332427	0.1366666666666666	0.949160396888532	0.8285714285714286	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_inherited	original_late_neuron	COMPLETED	12.0	5.0	7.0	0.0106760179997208	0.0021906820874396	0.0190086667684347	1.5175270817271098	0.1633333333333333	0.905244807394978	0.7142857142857143	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_inherited	original_severity	COMPLETED	12.0	5.0	7.0	0.0080067741799545	0.0014111407160075	0.0152374694549322	1.5609076358111484	0.16	0.8507868547118467	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_inherited	original_xenium	COMPLETED	12.0	5.0	7.0	0.0185822161277532	-0.0324572177132934	0.0673152059359869	0.5737641359235457	0.6	0.2983657992203521	0.6	0.0	True	300.0		0.7714285714285714
original_hDRG_DPN_control	repaired_inherited	severity_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0089793929540607	0.0012027912699285	0.0175258750637808	1.4978873301027815	0.1733333333333333	0.8056055436748116	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_inherited	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
original_JCI_sural_DPN_control	legacy_inherited	late_allcell_residual	COMPLETED	12.0	6.0	6.0	-0.036623916280584	-0.0692401565959304	-0.0146770256379948	-2.2678902386727318	0.0064935064935064	-1.2086464982679013	0.0555555555555555	0.0	True	924.0		0.0162337662337662
