PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	human_gene_id	current_symbol	gene_mapping_method	detected_sample_n	detection_fraction	median_log2_intensity_observed	selected_gene_representative	passes_detection_50pct	source_row
LY6E	Lymphocyte antigen 6E	Q16553	4061	LY6E	official_exact	17	0.3617021276595745	5.556058693297643	True	False	1278
LYN	Tyrosine-protein kinase Lyn;Isoform 2 of Tyrosine-protein kinase Lyn	P07948;P07948-2	4067	LYN	official_exact	11	0.23404255319148937	4.340338843349912	True	False	449
LYZ	Lysozyme C	P61626	4069	LYZ	official_exact	47	1.0	9.152972560686306	True	True	1017
TACSTD2	Tumor-associated calcium signal transducer 2	P09758	4070	TACSTD2	official_exact	29	0.6170212765957447	4.299000584415511	True	True	493
TM4SF1	Transmembrane 4 L6 family member 1	P30408	4071	TM4SF1	official_exact	9	0.19148936170212766	3.972331449844286	True	False	778
ARRB1	Beta-arrestin-1;Isoform 1B of Beta-arrestin-1	P49407;P49407-2	408	ARRB1	official_exact	2	0.0425531914893617	4.857276075676199	True	False	905
MARCKS	Myristoylated alanine-rich C-kinase substrate	P29966	4082	MARCKS	official_exact	3	0.06382978723404255	6.008287898038824	True	False	762
ARSA	Arylsulfatase A;Isoform 2 of Arylsulfatase A	P15289;P15289-2	410	ARSA	official_exact	44	0.9361702127659575	5.637852021530258	True	True	607
MAN1A1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	P33908	4121	MAN1A1	official_exact	41	0.8723404255319149	5.697983197492775	True	True	805
MAN2A2	Alpha-mannosidase 2x;Isoform 1 of Alpha-mannosidase 2x;Isoform 2 of Alpha-mannosidase 2x	P49641;P49641-1;P49641-2	4122	MAN2A2	official_exact	35	0.7446808510638298	4.9395995691583705	True	True	910
MAN2A1	Alpha-mannosidase 2	Q16706	4124	MAN2A1	official_exact	44	0.9361702127659575	5.408785954097145	True	True	1283
MAN2B1	Lysosomal alpha-mannosidase;Isoform 2 of Lysosomal alpha-mannosidase	O00754;O00754-2	4125	MAN2B1	official_exact	43	0.9148936170212766	4.859144030407533	True	True	102
MANBA	Beta-mannosidase	O00462	4126	MANBA	official_exact	47	1.0	5.221054119786114	True	True	93
MAOA	Amine oxidase [flavin-containing] A;Isoform 2 of Amine oxidase [flavin-containing] A	P21397;P21397-2	4128	MAOA	official_exact	8	0.1702127659574468	4.2799854949717036	True	False	681
MAP4	Microtubule-associated protein 4;Isoform 6 of Microtubule-associated protein 4	P27816;P27816-6	4134	MAP4	official_exact	1	0.02127659574468085	4.109943647265203	True	False	740
DNAJB9	DnaJ homolog subfamily B member 9	Q9UBS3	4189	DNAJB9	official_exact	42	0.8936170212765957	4.7498255970048895	True	True	1627
MDH1	Malate dehydrogenase, cytoplasmic;Isoform 3 of Malate dehydrogenase, cytoplasmic	P40925;P40925-3	4190	MDH1	official_exact	45	0.9574468085106383	5.495272306280436	True	True	857
MDH2	Malate dehydrogenase, mitochondrial	P40926	4191	MDH2	official_exact	38	0.8085106382978723	5.4408583786070945	True	True	858
MDK	Midkine	P21741	4192	MDK	official_exact	46	0.9787234042553191	5.163100481019455	True	True	683
ME1	NADP-dependent malic enzyme;Isoform 2 of NADP-dependent malic enzyme	P48163;P48163-2	4199	ME1	official_exact	9	0.19148936170212766	5.243086216188403	True	False	891
MFGE8	Lactadherin	Q08431	4240	MFGE8	official_exact	46	0.9787234042553191	6.15905818404522	True	True	1154
MELTF	Melanotransferrin	P08582	4241	MELTF	official_exact	47	1.0	5.705296578721192	True	True	468
MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	P26572	4245	MGAT1	official_exact	47	1.0	6.076326319073962	True	True	728
SCGB2A1	Mammaglobin-B	O75556	4246	SCGB2A1	official_exact	47	1.0	8.548197392999997	True	True	196
MGAT2	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Q10469	4247	MGAT2	official_exact	10	0.2127659574468085	4.0106489909576135	True	False	1159
MGAT5	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	Q09328	4249	MGAT5	official_exact	16	0.3404255319148936	4.139216126200046	True	False	1157
SCGB2A2	Mammaglobin-A;Isoform 2 of Mammaglobin-A	Q13296;Q13296-2	4250	SCGB2A2	official_exact	36	0.7659574468085106	8.086810192639572	True	True	1185
MGP	Matrix Gla protein;Isoform 2 of Matrix Gla protein	P08493;P08493-2	4256	MGP	official_exact	40	0.851063829787234	5.907905015939025	True	True	465
ASAH1	Acid ceramidase;Isoform 2 of Acid ceramidase	Q13510;Q13510-2	427	ASAH1	official_exact	47	1.0	6.187934056076655	True	True	1197
MIF	Macrophage migration inhibitory factor	P14174	4282	MIF	official_exact	40	0.851063829787234	5.889751691203644	True	True	592
MMP7	Matrilysin	P09237	4316	MMP7	official_exact	44	0.9361702127659575	6.3832657974378755	True	True	482
MMP8	Neutrophil collagenase	P22894	4317	MMP8	official_exact	14	0.2978723404255319	5.383340061174291	True	False	699
MMP9	Matrix metalloproteinase-9	P14780	4318	MMP9	official_exact	21	0.44680851063829785	5.02628213622854	True	False	601
MMP10	Stromelysin-2	P09238	4319	MMP10	official_exact	19	0.40425531914893614	4.534561146226473	True	False	483
MNDA	Myeloid cell nuclear differentiation antigen	P41218	4332	MNDA	official_exact	22	0.46808510638297873	4.450244894766991	True	False	861
MPI	Mannose-6-phosphate isomerase;Isoform 2 of Mannose-6-phosphate isomerase	P34949;P34949-2	4351	MPI	official_exact	1	0.02127659574468085	3.633259338054268	True	False	810
MPO	Myeloperoxidase;Isoform H14 of Myeloperoxidase;Isoform H7 of Myeloperoxidase	P05164;P05164-2;P05164-3	4353	MPO	official_exact	41	0.8723404255319149	6.122026035965278	True	True	396
KLK14	Kallikrein-14	Q9P0G3	43847	KLK14	official_exact	25	0.5319148936170213	4.288640815512219	True	True	1612
CCDC88C	Protein Daple	Q9P219	440193	CCDC88C	official_exact	32	0.6808510638297872	9.007073059101304	True	True	1615
H3-2	Histone HIST2H3PS2	Q5TEC6	440686	H3-7	unique_synonym	36	0.7659574468085106	5.085648964909071	True	True	1305
ASPH	Aspartyl/asparaginyl beta-hydroxylase;Isoform 10 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 11 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 2 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 3 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 4 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 5 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 6 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 7 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 8 of Aspartyl/asparaginyl beta-hydroxylase;Isoform 9 of Aspartyl/asparaginyl beta-hydroxylase	Q12797;Q12797-10;Q12797-11;Q12797-2;Q12797-3;Q12797-4;Q12797-5;Q12797-6;Q12797-7;Q12797-8;Q12797-9	444	ASPH	official_exact	27	0.574468085106383	4.033715032484571	True	True	1167
ASS1	Argininosuccinate synthase	P00966	445	ASS1	official_exact	18	0.3829787234042553	5.286734508235231	True	False	265
MSMB	Beta-microseminoprotein	P08118	4477	MSMB	official_exact	30	0.6382978723404256	6.911680324675245	True	True	453
MSN	Moesin	P26038	4478	MSN	official_exact	34	0.723404255319149	4.519004109218892	True	True	726
KPRP	Keratinocyte proline-rich protein	Q5T749	448834	KPRP	official_exact	27	0.574468085106383	5.466769406082337	True	True	1302
MTAP	S-methyl-5'-thioadenosine phosphorylase;Isoform 2 of S-methyl-5'-thioadenosine phosphorylase;Isoform 3 of S-methyl-5'-thioadenosine phosphorylase;Isoform 4 of S-methyl-5'-thioadenosine phosphorylase;Isoform 5 of S-methyl-5'-thioadenosine phosphorylase;Isoform 6 of S-methyl-5'-thioadenosine phosphorylase;Isoform 7 of S-methyl-5'-thioadenosine phosphorylase	Q13126;Q13126-2;Q13126-3;Q13126-4;Q13126-5;Q13126-6;Q13126-7	4507	MTAP	official_exact	4	0.0851063829787234	3.690995384148247	True	False	1174
MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	P11586	4522	MTHFD1	official_exact	7	0.14893617021276595	3.827170073324521	True	False	546
MUC1	Mucin-1;Isoform Y-LSP of Mucin-1;Isoform J13 of Mucin-1;Isoform 2 of Mucin-1;Isoform 3 of Mucin-1;Isoform 4 of Mucin-1;Isoform Y of Mucin-1;Isoform 8 of Mucin-1	P15941;P15941-11;P15941-17;P15941-2;P15941-3;P15941-4;P15941-7;P15941-8	4582	MUC1	official_exact	27	0.574468085106383	5.715285555825809	True	True	620
MUC4	Mucin-4;Isoform 10 of Mucin-4;Isoform 12 of Mucin-4;Isoform 13 of Mucin-4;Isoform 17 of Mucin-4	Q99102;Q99102-10;Q99102-12;Q99102-13;Q99102-17	4585	MUC4	official_exact	29	0.6170212765957447	5.208852472659415	True	True	1485
MUC5AC	Mucin-5AC	P98088	4586	MUC5AC	official_exact	36	0.7659574468085106	5.230188189365034	True	True	1101
MUC6	Mucin-6	Q6W4X9	4588	MUC6	official_exact	2	0.0425531914893617	5.691711520563412	True	False	1332
MUC7	Mucin-7	Q8TAX7	4589	MUC7	official_exact	47	1.0	6.872400967810779	True	True	1407
MX1	Interferon-induced GTP-binding protein Mx1;Isoform 2 of Interferon-induced GTP-binding protein Mx1	P20591;P20591-2	4599	MX1	official_exact	2	0.0425531914893617	7.052840584590822	True	False	669
SERPINC1	Antithrombin-III	P01008	462	SERPINC1	official_exact	44	0.9361702127659575	5.498745829080873	True	True	266
MYH9	Myosin-9	P35579	4627	MYH9	official_exact	40	0.851063829787234	4.480926659012196	True	True	825
MYL6	Myosin light polypeptide 6;Isoform Smooth muscle of Myosin light polypeptide 6	P60660;P60660-2	4637	MYL6	official_exact	42	0.8936170212765957	5.322492253610614	True	True	998
MYO1C	Unconventional myosin-Ic;Isoform 2 of Unconventional myosin-Ic;Isoform 3 of Unconventional myosin-Ic	O00159;O00159-2;O00159-3	4641	MYO1C	official_exact	24	0.5106382978723404	4.812116138563438	True	True	81
MYO1D	Unconventional myosin-Id	O94832	4642	MYO1D	official_exact	9	0.19148936170212766	3.762716883438064	True	False	214
MYO5B	Unconventional myosin-Vb	Q9ULV0	4645	MYO5B	official_exact	7	0.14893617021276595	5.670662191522821	True	False	1656
MYO6	Unconventional myosin-VI;Isoform 1 of Unconventional myosin-VI;Isoform 2 of Unconventional myosin-VI;Isoform 4 of Unconventional myosin-VI;Isoform 5 of Unconventional myosin-VI;Isoform 6 of Unconventional myosin-VI	Q9UM54;Q9UM54-1;Q9UM54-2;Q9UM54-4;Q9UM54-5;Q9UM54-6	4646	MYO6	official_exact	9	0.19148936170212766	3.4987444133343084	True	False	1659
NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Isoform skNAC-2 of Nascent polypeptide-associated complex subunit alpha, muscle-specific form;Nascent polypeptide-associated complex subunit alpha	E9PAV3;E9PAV3-2;Q13765	4666	NACA	official_exact	6	0.1276595744680851	4.683673016063565	True	False	78
NAGA	Alpha-N-acetylgalactosaminidase	P17050	4668	NAGA	official_exact	43	0.9148936170212766	5.204477563808045	True	True	632
NAGLU	Alpha-N-acetylglucosaminidase	P54802	4669	NAGLU	official_exact	44	0.9361702127659575	5.908292834961243	True	True	968
HNRNPM	Heterogeneous nuclear ribonucleoprotein M;Isoform 2 of Heterogeneous nuclear ribonucleoprotein M	P52272;P52272-2	4670	HNRNPM	official_exact	13	0.2765957446808511	5.442733337582874	True	False	952
NARS1	Asparagine--tRNA ligase, cytoplasmic	O43776	4677	NARS1	official_exact	13	0.2765957446808511	4.163494438809608	True	False	152
CEACAM6	Carcinoembryonic antigen-related cell adhesion molecule 6	P40199	4680	CEACAM6	official_exact	23	0.48936170212765956	4.053275137360439	True	False	852
NBL1	Neuroblastoma suppressor of tumorigenicity 1;Isoform 2 of Neuroblastoma suppressor of tumorigenicity 1	P41271;P41271-2	4681	NBL1	official_exact	13	0.2765957446808511	4.754724835539444	True	False	862
NCF2	Neutrophil cytosol factor 2;Isoform 2 of Neutrophil cytosol factor 2;Isoform 3 of Neutrophil cytosol factor 2;Isoform 4 of Neutrophil cytosol factor 2	P19878;P19878-2;P19878-3;P19878-4	4688	NCF2	official_exact	2	0.0425531914893617	6.392744160655344	True	False	661
NCL	Nucleolin	P19338	4691	NUCLEOLIN	unique_synonym	9	0.19148936170212766	3.8456004031092252	True	False	656
ATIC	Bifunctional purine biosynthesis protein ATIC;Isoform 2 of Bifunctional purine biosynthesis protein ATIC	P31939;P31939-2	471	ATIC	official_exact	8	0.1702127659574468	3.4854167422246825	True	False	791
NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Isoform 2 of NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Isoform 3 of NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Isoform 4 of NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;Isoform 5 of NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	P28331;P28331-2;P28331-3;P28331-4;P28331-5	4719	NDUFS1	official_exact	3	0.06382978723404255	3.7580853299393384	True	False	748
SEPTIN2	Septin-2;Isoform 2 of Septin-2;Isoform 3 of Septin-2	Q15019;Q15019-2;Q15019-3	4735	SEPTIN2	official_exact	11	0.23404255319148937	3.62169978000959	True	False	1244
NEDD8	NEDD8	Q15843	4738	NEDD8	official_exact	4	0.0851063829787234	4.692020678221653	True	False	1268
ATOX1	Copper transport protein ATOX1	O00244	475	ATOX1	official_exact	6	0.1276595744680851	4.990192826027238	True	False	88
NEU1	Sialidase-1	Q99519	4758	NEU1	official_exact	45	0.9574468085106383	5.504051801327007	True	True	1489
NEU2	Sialidase-2	Q9Y3R4	4759	NEU2	official_exact	2	0.0425531914893617	4.491881923620734	True	False	1683
ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1;Isoform 3 of Sodium/potassium-transporting ATPase subunit alpha-1;Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1	P05023;P05023-3;P05023-4	476	ATP1A1	official_exact	27	0.574468085106383	5.1154856843503325	True	True	383
SNU13	NHP2-like protein 1	P55769	4809	SNU13	official_exact	4	0.0851063829787234	3.265643772636947	True	False	983
ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1;Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1	P05026;P05026-2	481	ATP1B1	official_exact	9	0.19148936170212766	4.745293539122158	True	False	384
NME2	Nucleoside diphosphate kinase B;Isoform 3 of Nucleoside diphosphate kinase B	P22392;P22392-2	4831	NME2	official_exact	35	0.7446808510638298	5.31481859170438	True	True	693
NME3	Nucleoside diphosphate kinase 3	Q13232	4832	NME3	official_exact	46	0.9787234042553191	5.6455765433926075	True	True	1182
PNP	Purine nucleoside phosphorylase	P00491	4860	PNP	official_exact	24	0.5106382978723404	4.853130553649599	True	True	249
NPM1	Nucleophosmin;Isoform 2 of Nucleophosmin	P06748;P06748-2	4869	NPM1	official_exact	8	0.1702127659574468	5.647609529093764	True	False	421
ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Isoform 3 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Isoform 4 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2;Isoform 5 of Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	P16615;P16615-2;P16615-3;P16615-4;P16615-5	488	ATP2A2	official_exact	11	0.23404255319148937	5.140411974905647	True	False	630
ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3B of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3C of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3G of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3E of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3D of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3;Isoform SERCA3F of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3	Q93084;Q93084-1;Q93084-3;Q93084-4;Q93084-5;Q93084-6;Q93084-7	489	ATP2A3	official_exact	2	0.0425531914893617	2.8124514242822345	True	False	1446
NRDC	Nardilysin;Isoform 2 of Nardilysin	O43847;O43847-2	4898	NRDC	official_exact	2	0.0425531914893617	4.964932639836319	True	False	154
YBX1	Y-box-binding protein 1	P67809	4904	YBX1	official_exact	6	0.1276595744680851	4.134892999391909	True	False	1074
NSF	Vesicle-fusing ATPase	P46459	4905	NSF	official_exact	18	0.3829787234042553	3.8140130756317663	True	False	876
NT5E	5'-nucleotidase;Isoform 2 of 5'-nucleotidase	P21589;P21589-2	4907	NT5E	official_exact	34	0.723404255319149	4.7786639487607445	True	True	682
NUCB1	Nucleobindin-1	Q02818	4924	NUCB1	official_exact	47	1.0	6.5744364630516765	True	True	1127
NUCB2	Nucleobindin-2;Isoform 2 of Nucleobindin-2	P80303;P80303-2	4925	NUCB2	official_exact	47	1.0	6.721816075126728	True	True	1092
ATP5F1A	ATP synthase subunit alpha, mitochondrial	P25705	498	ATP5F1A	official_exact	34	0.723404255319149	4.486534443516572	True	True	719
CRNN	Cornulin	Q9UBG3	49860	CRNN	official_exact	36	0.7659574468085106	5.083211599638688	True	True	1622
ORM1	Alpha-1-acid glycoprotein 1	P02763	5004	ORM1	official_exact	45	0.9574468085106383	5.657431308334382	True	True	343
ORM2	Alpha-1-acid glycoprotein 2	P19652	5005	ORM2	official_exact	43	0.9148936170212766	5.359854900882545	True	True	658
ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase;Isoform 2 of Alpha-aminoadipic semialdehyde dehydrogenase;Isoform 4 of Alpha-aminoadipic semialdehyde dehydrogenase	P49419;P49419-2;P49419-4	501	ALDH7A1	official_exact	11	0.23404255319148937	4.591364375175957	True	False	907
P4HB	Protein disulfide-isomerase	P07237	5034	P4HB	official_exact	47	1.0	6.499854887240393	True	True	430
PA2G4	Proliferation-associated protein 2G4	Q9UQ80	5036	PA2G4	official_exact	4	0.0851063829787234	4.207397850734956	True	False	1667
PEBP1	Phosphatidylethanolamine-binding protein 1	P30086	5037	PEBP1	official_exact	45	0.9574468085106383	5.378639096375296	True	True	774
FURIN	Furin	P09958	5045	FURIN	official_exact	47	1.0	5.542815325493969	True	True	495
PAFAH1B1	Platelet-activating factor acetylhydrolase IB subunit beta	P43034	5048	PAFAH1B1	official_exact	19	0.40425531914893614	4.19004573513829	True	False	869
PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit alpha2;Isoform 2 of Platelet-activating factor acetylhydrolase IB subunit alpha2;Isoform 3 of Platelet-activating factor acetylhydrolase IB subunit alpha2;Isoform 4 of Platelet-activating factor acetylhydrolase IB subunit alpha2	P68402;P68402-2;P68402-3;P68402-4	5049	PAFAH1B2	official_exact	4	0.0851063829787234	5.157175363602389	True	False	1082
PRDX1	Peroxiredoxin-1	Q06830	5052	PRDX1	official_exact	47	1.0	6.418852572080724	True	True	1142
SERPINB2	Plasminogen activator inhibitor 2	P05120	5055	SERPINB2	official_exact	9	0.19148936170212766	4.6084480678415165	True	False	391
ATP5F1B	ATP synthase subunit beta, mitochondrial	P06576	506	ATP5F1B	official_exact	39	0.8297872340425532	4.888044211796396	True	True	412
PAM	Peptidyl-glycine alpha-amidating monooxygenase;Isoform 5 of Peptidyl-glycine alpha-amidating monooxygenase;Isoform 6 of Peptidyl-glycine alpha-amidating monooxygenase	P19021;P19021-5;P19021-6	5066	PAM	official_exact	45	0.9574468085106383	5.742122724542536	True	True	654
HP1BP3	Heterochromatin protein 1-binding protein 3	Q5SSJ5	50809	HP1BP3	official_exact	7	0.14893617021276595	3.7635941243977555	True	False	1301
F11R	Junctional adhesion molecule A	Q9Y624	50848	F11R	official_exact	42	0.8936170212765957	6.77635610683678	True	True	1690
SPOCK3	Isoform 1 of Testican-3;Isoform 8 of Testican-3	Q9BQ16-1;Q9BQ16-8	50859	SPOCK3	official_exact	43	0.9148936170212766	5.2631984106497	True	True	1509
ATP5F1C	ATP synthase subunit gamma, mitochondrial;Isoform Heart of ATP synthase subunit gamma, mitochondrial	P36542;P36542-2	509	ATP5F1C	official_exact	4	0.0851063829787234	5.088429724585466	True	False	831
PCBD1	Pterin-4-alpha-carbinolamine dehydratase	P61457	5092	PCBD1	official_exact	5	0.10638297872340426	4.525667997980123	True	False	1014
PCBP1	Poly(rC)-binding protein 1	Q15365	5093	PCBP1	official_exact	32	0.6808510638297872	5.507867852746692	True	True	1253
PCDH1	Protocadherin-1;Isoform 2 of Protocadherin-1	Q08174;Q08174-2	5097	PCDH1	official_exact	19	0.40425531914893614	4.2001630038248825	True	False	1149
PCDHGC3	Protocadherin gamma-C3;Isoform 2 of Protocadherin gamma-C3	Q9UN70;Q9UN70-2	5098	PCDHGC3	official_exact	10	0.2127659574468085	4.504026896836509	True	False	1661
GLOD4	Glyoxalase domain-containing protein 4;Isoform 2 of Glyoxalase domain-containing protein 4	Q9HC38;Q9HC38-2	51031	GLOD4	official_exact	22	0.46808510638297873	5.168518406979893	True	False	1564
LAP3	Cytosol aminopeptidase;Isoform 2 of Cytosol aminopeptidase	P28838;P28838-2	51056	LAP3	official_exact	20	0.425531914893617	4.91824820327899	True	False	752
PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase;Isoform 2 of Protein-L-isoaspartate(D-aspartate) O-methyltransferase	P22061;P22061-2	5110	PCMT1	official_exact	37	0.7872340425531915	5.045096721285192	True	True	688
SDF4	45 kDa calcium-binding protein	Q9BRK5	51150	SDF4	official_exact	46	0.9787234042553191	5.646703275542174	True	True	1513
VPS28	Vacuolar protein sorting-associated protein 28 homolog;Isoform 2 of Vacuolar protein sorting-associated protein 28 homolog	Q9UK41;Q9UK41-2	51160	VPS28	official_exact	10	0.2127659574468085	3.4654827844495673	True	False	1649
PCOLCE	Procollagen C-endopeptidase enhancer 1	Q15113	5118	PCOLCE	official_exact	43	0.9148936170212766	5.349147300510744	True	True	1247
DCXR	L-xylulose reductase	Q7Z4W1	51181	DCXR	official_exact	9	0.19148936170212766	3.7746261191127024	True	False	1348
CPA4	Carboxypeptidase A4;Isoform 2 of Carboxypeptidase A4	Q9UI42;Q9UI42-2	51200	CPA4	official_exact	23	0.48936170212765956	4.75126546337744	True	False	1643
GLTP	Glycolipid transfer protein	Q9NZD2	51228	GLTP	official_exact	13	0.2765957446808511	4.9519418657650744	True	False	1603
CRIM1	Cysteine-rich motor neuron 1 protein	Q9NZV1	51232	CRIM1	official_exact	21	0.44680851063829785	3.8874225608457613	True	False	1610
MZB1	Marginal zone B- and B1-cell-specific protein	Q8WU39	51237	MZB1	official_exact	10	0.2127659574468085	5.303933109048102	True	False	1418
COX16	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	Q9P0S2	51241	COX16	official_exact	40	0.851063829787234	5.213915453756432	True	True	1613
NT5C3A	Isoform 1 of Cytosolic 5'-nucleotidase 3A	Q9H0P0-1	51251	NT5C3A	official_exact	5	0.10638297872340426	3.3269187821179567	True	False	1536
C1RL	Complement C1r subcomponent-like protein	Q9NZP8	51279	C1RL	official_exact	46	0.9787234042553191	5.350788180903503	True	True	1608
GOLM1	Golgi membrane protein 1;Isoform 2 of Golgi membrane protein 1	Q8NBJ4;Q8NBJ4-2	51280	GOLM1	official_exact	47	1.0	6.2886753106532804	True	True	1387
BPIFA1	BPI fold-containing family A member 1;Isoform 2 of BPI fold-containing family A member 1	Q9NP55;Q9NP55-2	51297	BPIFA1	official_exact	6	0.1276595744680851	3.57826617612419	True	False	1570
ATP5F1D	ATP synthase subunit delta, mitochondrial	P30049	513	ATP5F1D	official_exact	11	0.23404255319148937	5.18075735779412	True	False	770
KRT76	Keratin, type II cytoskeletal 2 oral	Q01546	51350	KRT76	official_exact	25	0.5319148936170213	5.683633645182635	True	True	1118
PCYOX1	Prenylcysteine oxidase 1;Isoform 2 of Prenylcysteine oxidase 1	Q9UHG3;Q9UHG3-2	51449	PCYOX1	official_exact	18	0.3829787234042553	5.079947448448986	True	False	1639
RTCB	RNA-splicing ligase RtcB homolog	Q9Y3I0	51493	RTCB	official_exact	2	0.0425531914893617	3.9834282257882334	True	False	1681
ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial	P24539	515	ATP5PB	official_exact	4	0.0851063829787234	2.226143002169442	True	False	713
VTA1	Vacuolar protein sorting-associated protein VTA1 homolog;Isoform 2 of Vacuolar protein sorting-associated protein VTA1 homolog	Q9NP79;Q9NP79-2	51534	VTA1	official_exact	2	0.0425531914893617	4.6372186825240105	True	False	1571
UFM1	Ubiquitin-fold modifier 1	P61960	51569	UFM1	official_exact	32	0.6808510638297872	4.529330965201346	True	True	1022
CYRIB	CYFIP-related Rac1 interactor B	Q9NUQ9	51571	CYRIB	official_exact	5	0.10638297872340426	4.304665207733026	True	False	1592
CUTA	Protein CutA;Isoform A of Protein CutA;Isoform C of Protein CutA	O60888;O60888-2;O60888-3	51596	CUTA	official_exact	43	0.9148936170212766	8.068191944843898	True	True	174
LSR	Lipolysis-stimulated lipoprotein receptor;Isoform 4 of Lipolysis-stimulated lipoprotein receptor;Isoform 5 of Lipolysis-stimulated lipoprotein receptor;Isoform 6 of Lipolysis-stimulated lipoprotein receptor	Q86X29;Q86X29-4;Q86X29-5;Q86X29-6	51599	LSR	official_exact	47	1.0	5.860086897300434	True	True	1365
ATP6V1H	V-type proton ATPase subunit H;Isoform 2 of V-type proton ATPase subunit H	Q9UI12;Q9UI12-2	51606	ATP6V1H	official_exact	3	0.06382978723404255	4.310153851131608	True	False	1642
TPPP3	Tubulin polymerization-promoting protein family member 3	Q9BW30	51673	TPPP3	official_exact	4	0.0851063829787234	5.6013993023129265	True	False	1522
ENPP3	Ectonucleotide pyrophosphatase/phosphodiesterase family member 3	O14638	5169	ENPP3	official_exact	34	0.723404255319149	5.08484239411826	True	True	106
VPS29	Vacuolar protein sorting-associated protein 29;Isoform 2 of Vacuolar protein sorting-associated protein 29	Q9UBQ0;Q9UBQ0-2	51699	VPS29	official_exact	5	0.10638297872340426	4.144289951537464	True	False	1625
CYB5R2	NADH-cytochrome b5 reductase 2	Q6BCY4	51700	CYB5R2	official_exact	3	0.06382978723404255	4.5795357711097715	True	False	1310
GPRC5B	G-protein coupled receptor family C group 5 member B;Isoform 2 of G-protein coupled receptor family C group 5 member B	Q9NZH0;Q9NZH0-2	51704	GPRC5B	official_exact	21	0.44680851063829785	4.67729984037262	True	False	1604
CAB39	Calcium-binding protein 39	Q9Y376	51719	CAB39	official_exact	20	0.425531914893617	4.2395379459829385	True	False	1680
DNAJB11	DnaJ homolog subfamily B member 11	Q9UBS4	51726	DNAJB11	official_exact	31	0.6595744680851063	4.645259656016032	True	True	1628
CMPK1	UMP-CMP kinase;Isoform 3 of UMP-CMP kinase	P30085;P30085-3	51727	CMPK1	official_exact	28	0.5957446808510638	4.915242723749065	True	True	773
ERAP1	Endoplasmic reticulum aminopeptidase 1;Isoform 2 of Endoplasmic reticulum aminopeptidase 1	Q9NZ08;Q9NZ08-2	51752	ERAP1	official_exact	47	1.0	5.419666416748233	True	True	1602
SERPINF1	Pigment epithelium-derived factor	P36955	5176	SERPINF1	official_exact	47	1.0	5.673125404498175	True	True	836
STK26	Serine/threonine-protein kinase 26;Isoform 2 of Serine/threonine-protein kinase 26;Isoform 3 of Serine/threonine-protein kinase 26	Q9P289;Q9P289-2;Q9P289-3	51765	STK26	official_exact	3	0.06382978723404255	4.676482576549819	True	False	1617
CALML5	Calmodulin-like protein 5	Q9NZT1	51806	CALML5	official_exact	43	0.9148936170212766	5.812837812462363	True	True	1609
