gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status
LGI3	6.36e-68	-0.959166953	0.058	0.111	1.18e-63	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LGR5	2.63e-96	-1.626867506	0.165	0.339	4.88e-92	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LHFPL1	3.26e-09	-0.61108083	0.007	0.011	6.06e-05	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LHFPL3	5.6e-25	-0.618362544	0.012	0.018	1.04e-20	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LHFPL4	6.03e-40	-1.191503818	0.006	0.015	1.12e-35	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIFR	8.27e-36	-0.681032215	0.287	0.404	1.54e-31	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIG1	1.52e-27	0.618776996	0.113	0.073	2.82e-23	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LILRA2	8.66e-15	-0.681199932	0.017	0.022	1.61e-10	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LILRA6	2.02e-14	1.104807359	0.012	0.005	3.76e-10	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LILRB2	8.34e-28	0.620400618	0.044	0.033	1.55e-23	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LILRB4	9.45e-10	-1.030405148	0.015	0.027	1.75e-05	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LILRB5	1.24e-25	2.35004545	0.039	0.015	2.3e-21	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIMA1	6.49e-177	0.716636745	0.388	0.283	1.21e-172	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIMCH1	8.75e-13	0.65672207	0.201	0.166	1.63e-08	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIMD1	2.55e-22	0.674950597	0.385	0.27	4.74e-18	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIMS2	8.43e-175	0.88044496	0.393	0.347	1.57e-170	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIN37	3.65e-27	0.748650091	0.12	0.071	6.78e-23	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIN54	4.62e-34	-0.627268183	0.048	0.071	8.58e-30	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LINC03040	3.75e-79	1.012221879	0.007	0.006	6.97e-75	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LINGO1	8.1e-80	-0.709899478	0.043	0.065	1.5e-75	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LINGO2	4.51e-76	-0.755629818	0.015	0.028	8.38e-72	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LINGO4	4.66e-27	-0.7597432	0.009	0.016	8.65e-23	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIPA	1.96e-269	-0.87639748	0.155	0.238	3.64e-265	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
LIPE	5.68e-106	1.820477639	0.073	0.045	1.06e-101	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
